# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  22600    8.23e-01  8.11e-01    8.86e-03  1.05e-02    3.47e-02  3.42e-02    2.8e-03
  22700    9.96e-01  1.30e+00    6.54e-03  7.76e-03    4.20e-02  5.48e-02    2.8e-03
  22800    1.07e+00  1.17e+00    8.23e-03  5.19e-03    4.50e-02  4.91e-02    2.8e-03
  22900    7.07e-01  6.69e-01    4.90e-03  7.60e-03    2.98e-02  2.82e-02    2.8e-03
  23000    9.26e-01  8.63e-01    1.15e-02  1.11e-02    3.90e-02  3.64e-02    2.8e-03
  23100    7.37e-01  6.17e-01    4.72e-03  6.51e-03    3.11e-02  2.60e-02    2.8e-03
  23200    6.32e-01  6.63e-01    4.65e-03  4.12e-03    2.66e-02  2.80e-02    2.8e-03
  23300    1.94e+00  1.81e+00    2.13e-02  1.83e-02    8.20e-02  7.63e-02    2.8e-03
  23400    1.80e+00  1.64e+00    6.37e-03  8.98e-03    7.60e-02  6.90e-02    2.8e-03
  23500    6.79e-01  6.18e-01    3.42e-03  4.57e-03    2.86e-02  2.60e-02    2.8e-03
  23600    8.15e-01  7.34e-01    6.09e-03  4.90e-03    3.43e-02  3.09e-02    2.8e-03
  23700    6.54e-01  6.85e-01    6.35e-03  7.28e-03    2.76e-02  2.89e-02    2.8e-03
  23800    9.96e-01  9.90e-01    5.79e-03  5.86e-03    4.20e-02  4.17e-02    2.8e-03
  23900    6.25e-01  6.61e-01    6.87e-03  7.79e-03    2.64e-02  2.79e-02    2.8e-03
  24000    7.45e-01  7.24e-01    4.69e-03  5.51e-03    3.14e-02  3.05e-02    2.8e-03
  24100    6.46e-01  6.42e-01    4.99e-03  6.93e-03    2.72e-02  2.71e-02    2.8e-03
  24200    8.66e-01  1.02e+00    7.47e-03  7.99e-03    3.65e-02  4.31e-02    2.8e-03
  24300    1.61e+00  1.42e+00    5.65e-03  9.00e-03    6.77e-02  5.99e-02    2.8e-03
  24400    1.60e+00  1.21e+00    1.37e-02  8.83e-03    6.75e-02  5.08e-02    2.8e-03
  24500    1.88e+00  1.66e+00    1.11e-02  1.34e-02    7.94e-02  6.99e-02    2.8e-03
  24600    8.47e-01  7.32e-01    4.18e-03  6.33e-03    3.57e-02  3.09e-02    2.8e-03
  24700    8.24e-01  6.28e-01    5.56e-03  6.22e-03    3.47e-02  2.65e-02    2.8e-03
  24800    1.32e+00  1.11e+00    9.72e-03  6.64e-03    5.55e-02  4.68e-02    2.8e-03
  24900    1.32e+00  1.30e+00    5.64e-03  4.17e-03    5.58e-02  5.49e-02    2.8e-03
  25000    1.28e+00  1.01e+00    1.26e-02  1.51e-02    5.41e-02  4.24e-02    2.8e-03
  25100    7.29e-01  7.66e-01    7.70e-03  6.38e-03    3.07e-02  3.23e-02    2.8e-03
  25200    6.33e-01  5.97e-01    6.86e-03  6.58e-03    2.67e-02  2.52e-02    2.8e-03
  25300    6.56e-01  6.83e-01    1.17e-02  1.00e-02    2.76e-02  2.88e-02    2.8e-03
  25400    7.24e-01  5.84e-01    4.40e-03  8.03e-03    3.05e-02  2.46e-02    2.8e-03
  25500    7.11e-01  6.82e-01    4.86e-03  7.51e-03    3.00e-02  2.88e-02    2.8e-03
  25600    7.45e-01  7.65e-01    5.78e-03  6.80e-03    3.14e-02  3.22e-02    2.8e-03
